task,arm,seed,status,epochs_recorded,selected_epoch,peak_membrane_component,peak_gradient_norm,warm_batch_seconds_median,source
shd,brf,0,complete,20,12,205.94151306152344,67.6767349243164,0.027765561011619866,measurements/primary/grf-qualification-20260906/shd-brf-s0/metrics.jsonl
shd,brf,1,complete,20,10,133.75999450683594,68.06110382080078,0.02779501094482839,measurements/primary/grf-shd-main-20260906/shd-brf-s1/metrics.jsonl
shd,brf,2,complete,20,10,451.763916015625,60.90167999267578,0.02781086741015315,measurements/primary/grf-shd-main-20260906/shd-brf-s2/metrics.jsonl
shd,brf,3,complete,20,14,190.86659240722656,62.63443374633789,0.02779883099719882,measurements/primary/grf-shd-main-20260906/shd-brf-s3/metrics.jsonl
shd,brf,4,complete,20,10,209.6065216064453,65.34027862548828,0.0277755674906075,measurements/primary/grf-shd-main-20260906/shd-brf-s4/metrics.jsonl
shd,graded_brf,0,complete,20,17,628.5545654296875,279.679931640625,0.02778649644460529,measurements/primary/grf-shd-main-20260906/shd-graded_brf-s0/metrics.jsonl
shd,graded_brf,1,complete,20,20,745.0905151367188,879.193115234375,0.027782678022049367,measurements/primary/grf-shd-main-20260906/shd-graded_brf-s1/metrics.jsonl
shd,graded_brf,2,complete,20,18,845.51611328125,819.3740234375,0.027804396930150688,measurements/primary/grf-shd-main-20260906/shd-graded_brf-s2/metrics.jsonl
shd,graded_brf,3,complete,20,19,428.91180419921875,438.8606872558594,0.027851738035678864,measurements/primary/grf-shd-main-20260906/shd-graded_brf-s3/metrics.jsonl
shd,graded_brf,4,complete,20,13,746.5543823242188,334.1797180175781,0.02777630847413093,measurements/primary/grf-shd-main-20260906/shd-graded_brf-s4/metrics.jsonl
shd,graded_observation,0,complete,20,15,564.13330078125,322.8017272949219,0.028094546985812485,measurements/primary/grf-shd-main-20260906/shd-graded_observation-s0/metrics.jsonl
shd,graded_observation,1,complete,20,14,436.4340515136719,293.1585998535156,0.02804682042915374,measurements/primary/grf-shd-main-20260906/shd-graded_observation-s1/metrics.jsonl
shd,graded_observation,2,complete,20,13,297.6132507324219,286.93365478515625,0.02806045243050903,measurements/primary/grf-shd-main-20260906/shd-graded_observation-s2/metrics.jsonl
shd,graded_observation,3,complete,20,14,455.78717041015625,377.8965759277344,0.02811977395322174,measurements/primary/grf-shd-main-20260906/shd-graded_observation-s3/metrics.jsonl
shd,graded_observation,4,complete,20,16,497.3531188964844,244.90802001953125,0.028058861033059657,measurements/primary/grf-shd-main-20260906/shd-graded_observation-s4/metrics.jsonl
shd,graded_static,0,complete,20,14,142.46942138671875,199.04273986816406,0.028013816569000483,measurements/primary/grf-shd-main-20260906/shd-graded_static-s0/metrics.jsonl
shd,graded_static,1,complete,20,12,313.7020263671875,201.99447631835938,0.027998632518574595,measurements/primary/grf-shd-main-20260906/shd-graded_static-s1/metrics.jsonl
shd,graded_static,2,complete,20,15,119.57231903076172,201.1976318359375,0.028052535373717546,measurements/primary/grf-shd-main-20260906/shd-graded_static-s2/metrics.jsonl
shd,graded_static,3,complete,20,14,199.35842895507812,234.5567626953125,0.027969850576482713,measurements/primary/grf-shd-main-20260906/shd-graded_static-s3/metrics.jsonl
shd,graded_static,4,complete,20,15,113.78607177734375,231.5166778564453,0.0280049170833081,measurements/primary/grf-shd-main-20260906/shd-graded_static-s4/metrics.jsonl
